epochs;batch_size;learning_rate;loss_train;accuracy_train;error_train;loss_test;accuracy_test;error_test;activation_hidden;kernel_initializer;kernel_initializer_exit;early_stop;patience
20;32;0.001;0.15095221996307373;96.00833058357239;3.9916694164276123;0.21532055735588074;94.47000026702881;5.529999732971191;softmax;glorot_uniform;glorot_uniform;yes;4
20;32;0.001;0.005120906047523022;99.95333552360535;0.04666447639465332;0.06287190318107605;98.17000031471252;1.8299996852874756;sigmoid;lecun_uniform;glorot_uniform;yes;4
20;64;0.001;0.008182685822248459;99.92166757583618;0.07833242416381836;0.06220429763197899;98.03000092506409;1.969999074935913;sigmoid;lecun_uniform;glorot_uniform;yes;4
25;64;0.001;0.009041177108883858;99.91666674613953;0.08333325386047363;0.06145870313048363;98.21000099182129;1.789999008178711;sigmoid;lecun_uniform;glorot_uniform;yes;4
25;64;0.001;0.013248381204903126;99.83833432197571;0.161665678024292;0.06176181137561798;98.11000227928162;1.8899977207183838;sigmoid;random_uniform;glorot_uniform;yes;4
25;64;0.001;0.011506457813084126;99.85833168029785;0.14166831970214844;0.06279496103525162;98.07999730110168;1.9200026988983154;sigmoid;lecun_uniform;glorot_uniform;yes;4
25;64;0.001;0.011981205083429813;99.86000061035156;0.1399993896484375;0.06667722016572952;97.97000288963318;2.0299971103668213;sigmoid;lecun_uniform;glorot_uniform;yes;5
25;32;0.001;0.023214975371956825;99.47666525840759;0.5233347415924072;0.06477519869804382;97.97000288963318;2.0299971103668213;sigmoid;lecun_uniform;glorot_uniform;yes;5
25;32;0.001;0.015637237578630447;99.69000220298767;0.3099977970123291;0.06477056443691254;97.97000288963318;2.0299971103668213;sigmoid;random_uniform;glorot_uniform;yes;5
25;32;0.001;0.018306313082575798;99.66999888420105;0.3300011157989502;0.06495414674282074;97.9200005531311;2.0799994468688965;sigmoid;glorot_normal;glorot_uniform;yes;5
25;32;0.0005;0.01543399877846241;99.77333545684814;0.22666454315185547;0.0635426789522171;98.11000227928162;1.8899977207183838;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.0038726748898625374;99.97166395187378;0.028336048126220703;0.06405378878116608;98.18000197410583;1.819998025894165;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.014169231988489628;99.74333047866821;0.2566695213317871;0.06313104927539825;97.93000221252441;2.069997787475586;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.006981703918427229;99.91833567619324;0.0816643238067627;0.061428193002939224;98.07000160217285;1.9299983978271484;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.01276182010769844;99.76833462715149;0.23166537284851074;0.06504836678504944;98.1000006198883;1.8999993801116943;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.002200215822085738;99.99499917030334;0.0050008296966552734;0.06727606803178787;98.19999933242798;1.8000006675720215;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.003011977067217231;99.97666478157043;0.02333521842956543;0.07016075402498245;98.04999828338623;1.9500017166137695;sigmoid;lecun_uniform;glorot_uniform;yes;5
20;32;0.001;0.0014065761351957917;99.99333620071411;0.006663799285888672;0.0736275166273117;98.089998960495;1.9100010395050049;sigmoid;lecun_uniform;glorot_uniform;yes;5
