epochs;batch_size;learning_rate;loss_train;accuracy_train;error_train;loss_test;accuracy_test;error_test;activation_hidden
20;32;0.001;0.018397565931081772;99.6333360671997;0.36666393280029297;0.06829437613487244;97.86999821662903;2.1300017833709717;sigmoid
20;32;0.001;0.01923714578151703;99.58500266075134;0.4149973392486572;0.06193480268120766;97.86999821662903;2.1300017833709717;sigmoid
20;64;0.001;0.012643622234463692;99.82666373252869;0.17333626747131348;0.061853740364313126;98.11000227928162;1.8899977207183838;sigmoid
20;64;0.0005;0.024034865200519562;99.53166842460632;0.46833157539367676;0.06769053637981415;97.8600025177002;2.1399974822998047;sigmoid
20;64;0.001;0.010766287334263325;99.87333416938782;0.12666583061218262;0.06378840655088425;98.14000129699707;1.8599987030029297;sigmoid
20;64;0.001;0.013486078940331936;99.83500242233276;0.16499757766723633;0.06476332992315292;98.0400025844574;1.9599974155426025;sigmoid
20;64;0.001;0.007969580590724945;99.91499781608582;0.08500218391418457;0.06264512985944748;98.0400025844574;1.9599974155426025;sigmoid
25;64;0.001;0.013370764441788197;99.83000159263611;0.1699984073638916;0.0633319616317749;98.07000160217285;1.9299983978271484;sigmoid
25;64;0.001;0.011164618656039238;99.85666871070862;0.14333128929138184;0.061454955488443375;98.05999994277954;1.940000057220459;sigmoid
25;64;0.001;0.00726604787632823;99.93666410446167;0.06333589553833008;0.061956122517585754;98.14000129699707;1.8599987030029297;sigmoid
25;32;0.001;0.009840394370257854;99.87499713897705;0.12500286102294922;0.06335779279470444;98.1000006198883;1.8999993801116943;sigmoid
25;32;0.001;0.017598848789930344;99.67666864395142;0.323331356048584;0.062467340379953384;98.00000190734863;1.9999980926513672;sigmoid
25;64;0.0005;0.01318430807441473;99.86000061035156;0.1399993896484375;0.06338810175657272;98.04999828338623;1.9500017166137695;sigmoid
25;64;0.001;0.008254975080490112;99.88999962806702;0.1100003719329834;0.06521379947662354;98.05999994277954;1.940000057220459;sigmoid
25;64;0.001;0.012641175650060177;99.64500069618225;0.354999303817749;0.060502611100673676;98.1000006198883;1.8999993801116943;sigmoid
20;32;0.001;0.021230429410934448;99.37000274658203;0.6299972534179688;0.0670287162065506;98.00000190734863;1.9999980926513672;sigmoid
25;64;0.001;0.27695563435554504;96.16833329200745;3.8316667079925537;0.2806110978126526;95.80000042915344;4.199999570846558;sigmoid
25;64;0.001;0.26522284746170044;96.6533362865448;3.3466637134552;0.26657524704933167;96.43999934196472;3.5600006580352783;sigmoid
25;64;0.001;0.22936375439167023;96.70666456222534;3.293335437774658;0.23314125835895538;96.60000205039978;3.3999979496002197;sigmoid
25;64;0.001;0.020656637847423553;99.48833584785461;0.5116641521453857;0.0625624731183052;98.07999730110168;1.9200026988983154;sigmoid
25;64;0.001;0.011686360463500023;99.84833598136902;0.15166401863098145;0.06432798504829407;98.1000006198883;1.8999993801116943;sigmoid
30;64;0.001;0.00840345211327076;99.90666508674622;0.09333491325378418;0.06624864041805267;98.0400025844574;1.9599974155426025;sigmoid
25;64;0.001;0.016402484849095345;99.73000288009644;0.26999711990356445;0.06334350258111954;97.93999791145325;2.060002088546753;sigmoid
